id,material,quantity,source,carbon_savings,project_location,used_in_project,date_added
1,Bamboo Fiber,110,EcoCement Co.,235.41,Houston,Yes,2023-03-03
2,Bamboo Fiber,421,Sustainable Works,2004.12,Miami,Yes,2023-01-10
3,Bamboo Fiber,976,NatureBricks,4825.58,Austin,Yes,2023-03-04
4,Bamboo Fiber,674,EcoCement Co.,1659.5,Los Angeles,Yes,2023-08-06
5,Bamboo Fiber,801,Sustainable Works,3117.61,Seattle,Yes,2023-09-12
6,Recycled Plastic,294,EcoCement Co.,979.1,Seattle,Yes,2023-11-06
7,Straw Bale,380,NatureBricks,1830.45,Boston,Yes,2023-03-05
8,Straw Bale,840,EarthInnovations,2219.9,San Francisco,No,2023-04-24
9,Straw Bale,375,NatureBricks,1180.34,New York,No,2023-04-30
10,Recycled Plastic,175,Sustainable Works,371.39,Los Angeles,No,2023-11-14
11,Recycled Plastic,686,EcoCement Co.,2709.5,San Francisco,No,2023-04-27
12,Rammed Earth,637,Sustainable Works,2492.96,Austin,Yes,2023-10-25
13,Straw Bale,268,GreenBuild Ltd.,617.47,New York,Yes,2023-07-19
14,Geopolymer,918,EarthInnovations,2999.08,New York,Yes,2023-01-19
15,Hempcrete,387,EarthInnovations,1424.21,Denver,Yes,2023-09-11
16,Rammed Earth,923,GreenBuild Ltd.,1982.96,Houston,No,2023-10-29
17,Bamboo Fiber,907,PlasticCycle,3991.93,Austin,Yes,2023-08-13
18,Bamboo Fiber,416,Sustainable Works,836.99,Denver,Yes,2023-01-12
19,Straw Bale,777,EcoCement Co.,2930.35,Seattle,No,2023-12-24
20,Rammed Earth,746,EarthInnovations,3139.1,Seattle,No,2023-07-19
21,Hempcrete,827,NatureBricks,3002.61,Seattle,No,2023-04-29
22,Bamboo Fiber,577,EarthInnovations,1203.65,Seattle,Yes,2023-09-13
23,Recycled Plastic,291,PlasticCycle,1376.44,Miami,No,2023-04-12
24,Straw Bale,559,EarthInnovations,1149.84,Austin,Yes,2023-04-21
25,Hempcrete,472,NatureBricks,1054.41,New York,Yes,2023-11-03
26,Rammed Earth,847,GreenBuild Ltd.,1797.23,Chicago,Yes,2023-05-15
27,Hempcrete,211,PlasticCycle,1003.78,San Francisco,No,2023-08-28
28,Recycled Plastic,110,EarthInnovations,521.6,Chicago,Yes,2023-06-01
29,Bamboo Fiber,323,NatureBricks,1225.45,Boston,Yes,2023-05-06
30,Recycled Plastic,725,NatureBricks,2003.0,Chicago,Yes,2024-01-01
31,Hempcrete,387,PlasticCycle,1610.17,Houston,No,2023-03-25
32,Geopolymer,753,Sustainable Works,3019.7,Seattle,Yes,2023-02-19
33,Recycled Plastic,118,GreenBuild Ltd.,426.45,Chicago,Yes,2023-03-11
34,Bamboo Fiber,674,GreenBuild Ltd.,1872.69,New York,No,2023-06-12
35,Bamboo Fiber,452,EcoCement Co.,1731.3,New York,Yes,2023-02-28
36,Geopolymer,326,Sustainable Works,788.21,Chicago,No,2023-04-29
37,Bamboo Fiber,723,Sustainable Works,3173.49,New York,Yes,2023-10-15
38,Hempcrete,724,Sustainable Works,3373.52,Los Angeles,Yes,2023-12-19
39,Hempcrete,853,EarthInnovations,3877.6,Seattle,Yes,2023-12-11
40,Rammed Earth,217,EcoCement Co.,1020.75,Chicago,No,2023-05-09
41,Recycled Plastic,223,NatureBricks,998.32,Seattle,No,2023-01-03
42,Geopolymer,252,EarthInnovations,551.76,Houston,No,2023-11-09
43,Recycled Plastic,521,Sustainable Works,1136.52,Denver,No,2023-01-27
44,Rammed Earth,564,Sustainable Works,1754.14,Seattle,No,2023-11-09
45,Straw Bale,672,EcoCement Co.,1453.28,Miami,Yes,2023-09-30
46,Geopolymer,264,EarthInnovations,1165.17,Miami,Yes,2023-04-15
47,Hempcrete,260,Sustainable Works,1020.94,Austin,No,2023-07-10
48,Recycled Plastic,456,GreenBuild Ltd.,1090.04,Chicago,No,2023-09-12
49,Straw Bale,375,PlasticCycle,1235.53,Denver,No,2023-12-22
50,Rammed Earth,663,EarthInnovations,2365.78,Austin,No,2023-02-06
51,Rammed Earth,688,Sustainable Works,2940.9,Miami,Yes,2023-05-11
52,Hempcrete,107,Sustainable Works,231.9,Denver,Yes,2023-03-21
53,Geopolymer,390,EcoCement Co.,1878.42,Denver,No,2023-05-17
54,Hempcrete,506,EcoCement Co.,1902.17,Austin,Yes,2023-12-05
55,Hempcrete,993,EcoCement Co.,3295.45,Chicago,Yes,2023-04-06
56,Recycled Plastic,280,EcoCement Co.,733.84,New York,No,2023-07-02
57,Straw Bale,282,EcoCement Co.,1087.18,Boston,No,2023-10-12
58,Straw Bale,550,PlasticCycle,1158.3,New York,No,2023-05-18
59,Geopolymer,466,Sustainable Works,1212.67,New York,No,2023-11-06
60,Bamboo Fiber,190,EarthInnovations,601.78,New York,No,2023-06-10
61,Rammed Earth,530,EcoCement Co.,1130.41,Miami,No,2023-05-19
62,Bamboo Fiber,770,EarthInnovations,1930.79,Los Angeles,No,2023-02-21
63,Straw Bale,957,EarthInnovations,4595.85,Austin,No,2023-12-17
64,Rammed Earth,193,EcoCement Co.,713.24,Houston,No,2023-08-13
65,Straw Bale,443,Sustainable Works,1871.63,Los Angeles,No,2023-04-06
66,Geopolymer,894,PlasticCycle,3925.04,San Francisco,No,2023-04-08
67,Geopolymer,438,GreenBuild Ltd.,966.53,Boston,Yes,2023-08-28
68,Geopolymer,447,NatureBricks,1779.17,Denver,Yes,2023-02-09
69,Hempcrete,579,EcoCement Co.,2423.65,San Francisco,No,2023-03-24
70,Straw Bale,527,Sustainable Works,2418.65,San Francisco,No,2023-02-11
71,Hempcrete,835,PlasticCycle,4060.51,New York,Yes,2023-03-09
72,Rammed Earth,117,NatureBricks,267.52,Houston,No,2023-09-21
73,Recycled Plastic,480,PlasticCycle,1618.55,New York,Yes,2023-04-07
74,Rammed Earth,402,PlasticCycle,1117.65,Chicago,Yes,2023-05-18
75,Bamboo Fiber,908,PlasticCycle,3502.64,Denver,No,2023-04-02
76,Bamboo Fiber,758,NatureBricks,2643.39,Austin,Yes,2023-01-17
77,Geopolymer,436,GreenBuild Ltd.,2014.7,Denver,No,2023-11-11
78,Straw Bale,230,EcoCement Co.,881.14,Austin,No,2023-05-23
79,Recycled Plastic,608,PlasticCycle,1583.17,Los Angeles,No,2023-07-08
80,Straw Bale,145,NatureBricks,504.1,Boston,No,2023-07-17
81,Rammed Earth,616,PlasticCycle,1309.03,Seattle,Yes,2023-01-21
82,Geopolymer,180,GreenBuild Ltd.,464.71,Miami,Yes,2023-12-09
83,Bamboo Fiber,433,PlasticCycle,1460.14,Seattle,Yes,2023-07-28
84,Bamboo Fiber,828,Sustainable Works,3179.02,Houston,No,2023-08-23
85,Rammed Earth,884,EarthInnovations,4276.33,Austin,No,2023-08-19
86,Recycled Plastic,463,EarthInnovations,1472.84,Seattle,No,2023-10-06
87,Geopolymer,817,Sustainable Works,1769.59,San Francisco,Yes,2023-05-17
88,Bamboo Fiber,757,GreenBuild Ltd.,2806.49,Denver,No,2023-02-21
89,Bamboo Fiber,977,PlasticCycle,3140.45,Los Angeles,Yes,2023-11-30
